Scriin,Fibion,gender,age
2641,5746EE,1,5
2676,5759FA,1,7
2662,57010C,2,7
2673,5657AC,1,4
2702,561214,1,7
2707,576091,2,9
2612,577F10,1,5
2705,57D344,1,15
2644,577CB2,2,4
2679,5793D2,1,5
2695,575E57,2,11
2631,566A59,2,9
2643,574077,2,14
2690,57BC39,2,13
2686,56FAB0,1,10
2675,57A188,1,16
2667,56F89E,1,11
2635,576F94,1,16
2640,56439D,1,9
2699,5740B3,1,10
2832,573F80,2,5
2655,57691C,1,6
2835,57E50F,1,7
2836,57740B,2,11
2632,56160D,2,12
2603,575799,1,14
2829,563927,1,7
2608,574A4C,1,6
2661,57444B,1,9
2606,57865E,1,10
2687,5708AA,2,11
2820,579A1C,2,14
2622,56D9D1,1,9
2625,577B02,2,8
2706,56BF9D,1,10
2839,57C9B5,2,14
2826,56A8EA,2,14
2665,577243,2,12
2828,569056,1,11
2670,560573,1,5
2669,5633E5,1,8
2623,562340,1,10
2691,5623C9,2,10
2678,56C23C,1,16
2607,569CCF,1,11
2651,56FA4C,2,13
2615,565233,2,12
2629,57900A,2,7
2821,56D5E4,2,10
2674,56DA06,1,15
2830,566DA7,1,12
2630,568A0C,1,7
2823,562BD4,1,17
2825,5789E6,2,15
2818,57092F,2,11
2671,5677D8,2,6
2664,57BD36,1,11
2668,56FD55,1,10
2627,56D68F,2,6
2624,5798D7,2,9
2817,57618C,2,11
2813,568EC0,1,5
2650,577502,1,10
2689,574890,2,15
2660,569E62,2,5
2837,56C235,2,16
2646,570549,2,11
2816,57A978,2,12
2636,562EC6,2,15
2648,56071D,1,11
2812,568640,1,7
2683,56EB74,1,14
2658,57281E,1,16
2604,56A494,2,6
2617,57343C,2,10
2815,578FCA,2,14
2696,579C81,1,6
2610,56C086,1,10
2652,56B5C5,1,9
2672,56A983,2,4
2647,577C60,2,4
2653,56B4E6,1,15
2701,5631E1,1,12
2824,57BE3B,1,8
2769,577807,2,6
2684,5760ED,2,9
2838,56153B,1,11
2693,56B6A2,1,14
2634,57C716,1,5
2681,57328F,1,12
2638,57CAC5,2,15
2642,56AE45,1,4
2639,56AB88,2,10
2840,56C637,2,14
2621,56F329,2,5
2654,569F8C,2,10
2659,57CFE6,2,10
2822,56C834,2,5
2831,56DE95,2,10
